Country{string},Manufacturer{string},Model{string},Variant{string},Registry{string},ICAO24{string},Serial Number{string},Operator{string},Source{string},Source URL{string},Date Retrieved{string},Comments{string},Classification{string}
Russian Federation,Antonov,An-124,An-124-100,RA-82013,15405D,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82014,15405E,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82025,154069,----,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82028,15406C,19530502599,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82030,15406E,9.77304E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82032,154070,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82035,154073,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82037,154075,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82038,154076,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82042,15407A,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82043,15407B,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82044,15407C,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82045,15407D,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82046,15407E,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82047,15407F,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82068,154094,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82074,15409A,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82077,15409D,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82078,15409E,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82079,15409F,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Azerbaijan,Antonov,An-124,An-124,RA-82080,1540A0,9.77305E+12,Silk Way Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82081,1540A1,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86871,155357,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86897,155371,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86901,155375,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86906,15537a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86908,15537c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86910,15537e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MDK,RF-75351,152bde,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MDK,RF-75352,1533b2,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MDK,RF-75353,1.533E+12,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,RF-76325,152c00,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76327,1533ed,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76533,152af5,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76544,152b00,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76546,152b02,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76548,152b04,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76549,152b05,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76550,152b06,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76552,152b08,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76553,152b09,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76554,152b0a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76558,152b0e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76572,152b1c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76604,152b3c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76613,152b45,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76615,152b47,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76639,152b5f,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76643,152b63,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76650,152b6a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76668,152b7c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76693,152b95,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76702,152b9e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76714,152baa,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76720,152bb0,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76722,152bb2,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76726,152bb6,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76731,152bbb,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76733,152bbd,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76739,152bc3,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76740,152bc4,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76745,152bc9,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76747,152bcb,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76764,152bdc,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76765,152bdd,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76768,152be0,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76769,152be1,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76770,152be2,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76773,152be5,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76779,152beb,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76802,152c02,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76803,152c03,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76804,152c04,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76826,152c1a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76827,152c1b,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76828,152c1c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,RF-76829,152c1d,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78750,15339e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78757,1533a5,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78764,1533ac,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78766,1533ae,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78768,1533b0,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78777,1533b9,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78778,1533ba,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78784,1533c0,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78788,1533c4,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78790,1533c6,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78791,1533c7,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78795,1533cb,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78797,1533cd,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78803,1533d3,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78810,1533da,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78811,1533db,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78813,1533dd,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78815,1533df,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-78833,1533f1,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Tupolev,Tu-154,Tu-154 M-LK1 Open Skies,RF-85655,1.94E+99,89A798,Russian Air Force,OpenSky Network,opensky-network.org,4/15/20,Open Skies Treaty aircraft,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-86898,155372,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-86902,155376,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-86907,15537b,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-86925,15538d,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-95669,152ba4,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,ST-APS,07c002,----,Kush Air,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,ST-ATH,07c029,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,ST-AWR,07c006,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Sudan,Ilyushin,Il-76,IL-76 TD,ST-BDE,152c09,1013408252,Badr Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Sudan,Ilyushin,Il-76,IL-76 TD,ST-BDN,07c03c,1023413443,Badr Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,ST-EWX,07c024,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,T-902,0900ed,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,T-908,09002f,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,TN-AFS,0360b2,----,Lina Congo,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,UK-76353,507c12,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,UK-76375,507c2b,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,UK-76821,507c2d,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Kazakhstan,Ilyushin,Il-76,IL-76 TD,UP-I7601,6830aa,1013409295,Air Almaty,OpenSky Network,opensky-network.org,6/29/20,----,Unclassified
Kazakhstan,Ilyushin,Il-76,IL-76 TD,UP-I7604,683039,1033414485,Kazaviaspas,OpenSky Network,opensky-network.org,6/29/20,----,Unclassified
Kazakhstan,Ilyushin,Il-76,IL-76 TD,UP-I7605,68303a,1033416520,Government Of Kazakhstan,OpenSky Network,opensky-network.org,6/29/20,----,Unclassified
Kazakhstan,Ilyushin,Il-76,IL-76 TD,UP-I7621,683089,13434018,East Wing,OpenSky Network,opensky-network.org,6/29/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 MD,UR-78785,508058,83489691,Yuzhmashavia,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,UR-78786,508059,83490693,Yuzhmashavia,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Ukraine,Antonov,An-124,An-124-100,UR-82007,50801B,19530501005,Antonov Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Ukraine,Antonov,An-124,An-124-100M-150,UR-82008,50801C,19530501006,Antonov Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Ukraine,Antonov,An-124,An-124-100,UR-82009,50801D,19530501008,Antonov Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Ukraine,Antonov,An-124,An-124-100,UR-82027,508015,19530502288,Antonov Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Ukraine,Antonov,An-124,An-124-100,UR-82029,508003,19530502630,Antonov Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Ukraine,Antonov,An-225,An-225,UR-82060,508035,19530503763,Antonov Airlines,OpenSky Network,opensky-network.org,4/14/20,----,Unclassified
Ukraine,Antonov,An-124,An-124-100,UR-82072,50801F,9.77305E+12,Antonov Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Ukraine,Antonov,An-124,An-124-100,UR-82073,508020,9.77305E+12,Antonov Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,UR-BXQ,5080db,1023410360,Maximus Air Cargo,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,UR-BXS,5080dc,1023411368,Yevropa Air,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
United Arab Emirates,Ilyushin,Il-76,IL-76 TD,UR-CIF,50826f,----,ZetAvia,FlightRadar24,https://www.flightradar24.com/data/aircraft/ur-cif,5/12/20,----,Unclassified
United Arab Emirates,Ilyushin,Il-76,IL-76 TD,UR-CIG,508270,----,ZetAvia,FlightRadar24,https://www.flightradar24.com/data/aircraft/ur-cig,5/12/20,----,Unclassified
United Arab Emirates,Ilyushin,Il-76,IL-76 TD,UR-CIU,5080a3,53458741,ZetAvia,FlightRadar24,https://www.flightradar24.com/data/aircraft/ur-ciu,5/12/20,----,Unclassified
United Arab Emirates,Ilyushin,Il-76,IL-76 TD,UR-CIV,508280,----,ZetAvia,FlightRadar24,https://www.flightradar24.com/data/aircraft/ur-civ,5/12/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 MD,UR-CMB,5082fd,33446325,Alfa Air,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,UR-CMC,508300,1013407230,Yevropa Air,FlightRadar24,https://www.flightradar24.com/data/aircraft/ur-cmc,5/12/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,UR-CMD,508321,----,Aeroklub Eleron,FlightRadar24,https://www.flightradar24.com/data/aircraft/ur-cmd,5/12/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,UR-COE,508359,93498974,Yevropa Air,FlightRadar24,https://www.flightradar24.com/data/aircraft/ur-coe,5/12/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,UR-EAA,50831f,33446350,Yevropa Air,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,UR-EAB,5083f1,1003403075,Yevropa Air,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Ukraine,Antonov,An-124,An-124,UR-ZYD,5080B3,19530502843,Maximus Air Cargo,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Germany,Airbus,A-319,A-319,,15+03,----,German Air Force,OpenSky Network,opensky-network.org,4/15/20,Open Skies Treaty aircraft,Unclassified
United States of America,Boeing,B-135,OC-135B Open Skies ,,,----,United States Air Force,OpenSky Network,opensky-network.org,4/15/20,Open Skies Treaty aircraft,Unclassified
Syria,Ilyushin,Il-76,IL-76 T,YK-ATA,778681,93421613,Syrian Arab Airlines,OpenSky Network,opensky-network.org,6/14/20,----,Unclassified
Syria,Ilyushin,Il-76,IL-76 M,YK-ATB,778682,93421619,Syrian Arab Airlines,OpenSky Network,opensky-network.org,6/14/20,----,Unclassified
Syria,Ilyushin,Il-76,IL-76 T,YK-ATD,778684,13431915,Syrian Arab Airlines,OpenSky Network,opensky-network.org,6/14/20,----,Unclassified
Jordan,Ilyushin,Il-76,IL-76 MF,360,743595,1063421724,Royal Jordanian Air Force,OpenSky Network,opensky-network.org,7/21/20,----,Unclassified
Jordan,Ilyushin,Il-76,IL-76 MF,361,743596, 20*3423808,Royal Jordanian Air Force,OpenSky Network,opensky-network.org,7/21/20,----,Unclassified